Lib ID,Species,Tissue,Sample prep type,Experiment,Starting RNA (ug),Post-Ribominus,non-ribo yield,Date of Ribominus,Person Ribominusing,Post-PolyA (ug),poly-a yield,Date of PolyA,Person PolyA-ing,Fragmentation Date,Post-Frag RNA(ug),Yield from frag,RNA used for cDNA(ug),cDNA (post purification)(ug),cDNA conc. (post size select/purification) (ng),date of final cDNA prep,comments,Platform,Quantity Sequenced (% lane),Order #,Data Folder,HTGU Sample ID,Date Submitted,Date Received,Output ~# reads,Library Location (tube),Data Location,Facility tube labeling TOP,Facility tube labeling SIDE,HTGU Machine ID,Result Notes,,,,,,,,,,,,,,
GC,C.gigas,larvae,Ribominus,Control,2.4,1.9,79.17%,,,NA,NA,,,,,,NA,NA,NA,,,,,,,,,,,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/solid0078_20100107_MD_Roberts_Hao_64A_71A_64B_Roberts_GC_F3_QV.qual,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/solid0078_20100107_MD_Roberts_Hao_64A_71A_64B_Roberts_GC_F3.csfasta,,,,,,,,,,,,,,,,,,
2L,Herring,liver,polyA (x2),2L HKOD09,107.85,NA,NA,,,2.78,2.58%,,,,0.272,27.20%,0.272,NA,0.09218,,Ginger's Lab,SOLiD,,,,NA,,,,,,,,,,,,,,,,,,,,,,,
4L,Herring,liver,polyA (x2),4L HTOG09,104.45,NA,NA,,,1.286,1.23%,,,,0.338,33.80%,0.338,NA,0.4012,,Ginger's Lab,SOLiD,,,,NA,,,,,,,,,,,,,,,,,,,,,,,
3L,Herring,liver,polyA (x2),3L HSITK09,54.45,NA,NA,,,2.132,3.92%,,,,0.1678,16.78%,0.1678,NA,1.7694,,Ginger's Lab,SOLiD,,,,NA,,,,,,,,,,,,,,,,,,,,,,,
6L,Herring,liver,polyA (x2),6L HPWS09,85.15,NA,NA,,,1.394,1.64%,,,,0.5204,52.04%,0.5204,NA,1.0278,,Ginger's Lab,SOLiD,,,,NA,,,,,,,,,,,,,,,,,,,,,,,
SR01,Herring,liver,polyA(x2),pool from all locations,500,NA,NA,,,5.3,1.06%,,,,NA,NA,NA,NA,NA,NA,MoGene,454,,,,NA,10/27/2009,,,,,,,,,,,,,,,,,,,,,,
SR02,Herring,gonad/ovary,polyA(x2),pool from all locations,90,NA,NA,,,3.26,3.62%,,,,NA,NA,NA,NA,NA,NA,MoGene,454,,,,NA,10/27/2009,,,,,,,,,,,,,,,,,,,,,,
1 G/O HPWS09,Herring,gonad/ovary,polyA(x2),,20,NA,NA,,,0.2596,1.30%,,,,NA,NA,NA,NA,92.9,,Ginger's Lab,SOLiD,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,yellow perch,?,polyA(x2),,12,NA,NA,,,0.346,2.88%,,,,NA,NA,NA,NA,638,,Ginger's Lab,SOLiD,,,,,,,,,,,,,,,,,,,,,,,,,,,
PQ,yellow perch,?,polyA(x2),,12,NA,NA,,,0.01992,0.17%,,,,NA,NA,NA,NA,207.7,,Ginger's Lab,SOLiD,,,,,,,,,,,,,,,,,,,,,,,,,,,
WB,yellow perch,?,polyA(x2),,12,NA,NA,,,0.12672,1.06%,,,,NA,NA,NA,NA,168.1,,Ginger's Lab,SOLiD,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lean,Lake Trout,muscle pool,polyA(x2),,20,NA,NA,,,0.1556,0.78%,,,,NA,NA,NA,NA,534.9,,Ginger's Lab,SOLiD,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sisco,Lake Trout,muscle pool,polyA(x2),,20,NA,NA,,,0.0696,0.35%,,,,NA,NA,NA,NA,422.9,,Ginger's Lab,SOLiD,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC,black abalone,DG pool,polyA(x2),,45,NA,NA,,,0.98,2.18%,,,,NA,NA,NA,NA,137.9,,Ginger's Lab,SOLiD,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE,black abalone,DG pool,polyA(x2),,45,NA,NA,,,0.878,1.95%,,,,NA,NA,NA,NA,230.01,,Ginger's Lab,SOLiD,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,black abalone,DG pool,polyA(x2),Abalone Dg Exp1,30,NA,NA,,,0.57,1.90%,,,,NA,NA,NA,NA,NA,,Submitted to HTGU for sequencing,SOLiD,,,,,3/10/2011,,,,,,,,,,,,,,,,,,,,,,
SE,black abalone,DG pool,polyA(x2),Abalone Dg Exp1,30,NA,NA,,,0.462,1.54%,,,,NA,NA,NA,NA,NA,,Submitted to HTGU for sequencing,SOLiD,,,,,3/10/2011,,,,,,,,,,,,,,,,,,,,,,
SB unmeth C.gigas,C.gigas,gill pool,gDNA,https://img.skitch.com/20111020-p2guuhtqgff481139jikgdyn46.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Submitted to HTGU for sequencing,SOLiD,,,,,3/10/2011,,,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/solid0078_20110412_SB_UNMETH.csfasta,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/solid0078_20110412_SB_UNMETH.qual,,,,,,,,,,,,,,,,,,
SB meth C.gigas,C.gigas,gill pool,gDNA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Submitted to HTGU for sequencing,SOLiD,,,,,3/10/2011,,,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/solid0078_20110412_SB_METH.csfasta,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/solid0078_20110412_SB_METH.qual,,,,,,,,,,,,,,,,,,
MA,Mercenaria mercenaria,gill pool,polyA(x2),,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Submitted to HTGU for sequencing,SOLiD,,,,,3/10/2011,,,,,,,,,,,,,,,,,,,,,,
BX,Mercenaria mercenaria,gill pool,polyA(x2),,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Submitted to HTGU for sequencing,SOLiD,,,,,3/10/2011,,,,,,,,,,,,,,,,,,,,,,
Vt RE22,Vibrio tubiashii (RE22),,gDNA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Submitted to HTGU for sequencing,SOLiD,,,,,3/10/2011,,,,,,,,,,,,,,,,,,,,,,
Vt STRAIN,Vibrio tubiashii (ATCC 19106),,gDNA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Submitted to HTGU for sequencing,SOLiD,,,,,3/10/2011,,,,,,,,,,,,,,,,,,,,,,
mRNA1,Lake Trout,,,,,,,,,,,,,,,,,,,,mRNA sent to us by Rick.  Submitted to HTGU for sequencing,Illumina,,,,,3/10/2011,,4/11/2011,,,,,,,,,,,,,,,,,,,,
mRNA2,Lake Trout,,,,,,,,,,,,,,,,,,,,mRNA sent to us by Rick.  Submitted to HTGU for sequencing,Illumina,,,,,3/10/2011,,4/11/2011,,,,,,,,,,,,,,,,,,,,
mRNA3,Lake Trout,,,,,,,,,,,,,,,,,,,,mRNA sent to us by Rick.  Submitted to HTGU for sequencing,Illumina,,,,,3/10/2011,,4/11/2011,,,,,,,,,,,,,,,,,,,,
mRNA4,Lake Trout,,,,,,,,,,,,,,,,,,,,mRNA sent to us by Rick.  Submitted to HTGU for sequencing,Illumina,,,,,3/10/2011,,4/11/2011,,,,,,,,,,,,,,,,,,,,
Clam RAD,Mercenaria mercenaria,,RAD,,,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,Illumina,,,,,5/13/2011,5/19/2011,,,,,,,,,,,,,,,,,,,,,
P_Ab_Air,Pinto Abalone?,larvae,,400ppm;PNW genomics,40ug,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, 36bp, single-end",50,,FCD0DN1,,9/8/2011,11/21/2011,50 mill,,NGS Drive (Pro),,,Illumina HiSeq,Run in same lane as 1000ppm sample,,,,,,,,,,,,,,
P_Ab_CO2,Pinto Abalone?,larvae,,1000ppm;PNW genomics,40ug,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, 36bp, single-end",50,,FCD0DN1,,9/8/2011,11/21/2011,50 mill,,NGS Drive (Pro),,,Illumina HiSeq,Run in same lane as 400ppm sample.,,,,,,,,,,,,,,
SB MBD meth (bisulfite),C.gigas,gill pool,"gDNA, methylation enriched",https://skitch.com/macgavery/gq3ef/genefish-macs-notebook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Submitted to HTGU for library prep, bisulfite conversion and sequencing","Illumina, 36bp, single-end",100,samwhite_101974,,,12/7/2011,1/25/2012,139million,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/filtered_BSseqGill_L003_R1.fastq,,,,,,,,,,,,,,,,,,
400,O. conchaphila,larvae,NA,,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Submitted to HTGU for sequencing,"Illumina, 36bp, single-end",100,samwhite_102159,,,1/4/2012,1/25/2012,195million,,NGS Drive (Pro),,,Illumina HiSeq,Run in lane by itself.,,,,,,,,,,,,,,
2000,O. conchaphila,larvae,NA,,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Submitted to HTGU for sequencing,"Illumina, 36bp, single-end",100,samwhite_102159,,,1/4/2012,1/25/2012,195million,,NGS Drive (Pro),,,Illumina HiSeq,Run in lane by itself.,,,,,,,,,,,,,,
400,O. lurida,larvae pool,polyA(x2),Friedman,,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, 36bp, single-end",25,samwhite_103936,,,7/9/2012,8/7/2012,,,,,,Illumina HiSeq,,,,,,,,,,,,,,,
1000,O. lurida,larvae pool,polyA(x2),Friedman,,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, 36bp, single-end",25,samwhite_103936,,,7/9/2012,8/7/2012,,,,,,Illumina HiSeq,,,,,,,,,,,,,,,
1600,O. lurida,larvae pool,polyA(x2),Friedman,,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, 36bp, single-end",25,samwhite_103936,,,7/9/2012,8/7/2012,,,,,,Illumina HiSeq,,,,,,,,,,,,,,,
2200,O. lurida,larvae pool,polyA(x2),Friedman,,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, 36bp, single-end",25,samwhite_103936,,,7/9/2012,8/7/2012,,,,,,Illumina HiSeq,,,,,,,,,,,,,,,
QPX DNA,QPX,QPX,polyA(x2),,,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, 36bp, single-end",33,samwhite_103939,,,7/11/2012,7/31/2012,,,,,,Illumina HiSeq,,,,,,,,,,,,,,,
QPX ATCC 10C,QPX,QPX,polyA(x2),,,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, 36bp, single-end",33,samwhite_103938,,,7/11/2012,7/31/2012,,,,,,Illumina HiSeq,,,,,,,,,,,,,,,
QPX ATCC RT,QPX,QPX,polyA(x2),,,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, 36bp, single-end",33,samwhite_103938,,,7/11/2012,7/31/2012,,,,,,Illumina HiSeq,,,,,,,,,,,,,,,
WSO,black abalone,DG pool,total RNA,Friedman,,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, 36bp, single-end",33,samwhite_103944,,,7/9/2012,8/7/2012,,,,,,Illumina HiSeq,,,,,,,,,,,,,,,
WS + P,black abalone,DG pool,total RNA,Friedman,,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, 36bp, single-end",33,samwhite_103944,,,7/9/2012,8/7/2012,,,,,,Illumina HiSeq,,,,,,,,,,,,,,,
NWS,black abalone,DG pool,total RNA,Friedman,,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, 36bp, single-end",33,samwhite_103944,,,7/9/2012,8/7/2012,,,,,,Illumina HiSeq,,,,,,,,,,,,,,,
106A Female Mix,O. lurida,gonad pool,polyA(x2),Friedman,,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, 72bp, paired-end",25,samwhite_104086,,,7/18/2012,12/19/2012,,,,,,Illumina HiSeq,,,,,,,,,,,,,,,
106A Male Mix,O. lurida,gonad pool,polyA(x2),Friedman,,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, 72bp, paired-end",25,samwhite_104086,,,7/18/2012,12/19/2012,,,,,,Illumina HiSeq,,,,,,,,,,,,,,,
108A Female Mix,O. lurida,gonad pool,polyA(x2),Friedman,,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, 72bp, paired-end",25,samwhite_104086,,,7/18/2012,12/19/2012,,,,,,Illumina HiSeq,,,,,,,,,,,,,,,
108A Male Mix,O. lurida,gonad pool,polyA(x2),Friedman,,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, 72bp, paired-end",25,samwhite_104086,,,7/18/2012,12/19/2012,,,,,,Illumina HiSeq,,,,,,,,,,,,,,,
400 & 2800,C. gigas,gill,3' targeted with barcode,Secondary Stress (FHL),,,,,,,,,,,,,,,,,Samples sent to Eli Meyer for sequencing,,,,,,9/12/2012,11/1/2012,12.6 million,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/ETS_tagseq.zip,,,Illumina HiSeq,8 samples run together (barcoded),,,,,,,,,,,,,,
174.gm,C.gigas,sperm,gDNA,,N/A,,,,,,,,,,,,,,,,Submitted to HTGU for sequencing,"Illumina, Whole Methylome, 72bp PE",,samwhite_105029,,,10/11/2012,12/19/2012,,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/filtered_174gm_A_NoIndex_L006_R1.fastq,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://eagle.fish.washington.edu/trilobite/Crassostrea_gigas_HTSdata/filtered_174gm_A_NoIndex_L006_R2.fastq,,,,,,,,,,,,,,,,,,
SB_Pool,C.gigas,gill pool,total RNA,,5ug,,,,,,,,,,,,,,,,Submitted to Genomce Sciences for sequencing,"Illumina, 50bp, paired-end",50,,,,5/14/2013,7/9/2013,,,,,,,,,,,,,,,,,,,,,
174_gm,C.gigas,gonad,total RNA,,5ug,,,,,,,,,,,,,,,,Submitted to Genomce Sciences for sequencing,"Illumina, 50bp, paired-end",50,,,,5/14/2013,7/9/2013,,,,,,,,,,,,,,,,,,,,,
Pat muscle,O. conchaphila,muscle,gDNA,,N/A,,,,,,,,,,,,,,,,Submitted to UW PacBio Sequencing,PacBio 20kb C2,,6,,,6/7/2013,6/20/2013,,,,,,,,,,,,,,,,,,,,,
BS CgF,C.gigas,eggs,gDNA,,N/A,,,,,,,,,,,,,,,,"Submitted to HTGU for library prep, bisulfite conversion","Illumina, Whole Methylome, 72bp PE",,samwhite_108168,"FCD2CA8, FCC39EM, FCC3ATL, FCC3ATL_02",,8/26/2013,9/24/2013,,,,,,,,,,,,,,,,,,,,,
BS CgLarv T1D3,C.gigas,larvae,gDNA,,N/A,,,,,,,,,,,,,,,,"Submitted to HTGU for library prep, bisulfite conversion","Illumina, Whole Methylome, 72bp PE",,samwhite_108168,"FCD2CA8, FCC39EM",,8/26/2013,9/24/2013,,,,,,,,,,,,,,,,,,,,,
BS CgLarv T1D5,C.gigas,larvae,gDNA,,N/A,,,,,,,,,,,,,,,,"Submitted to HTGU for library prep, bisulfite conversion","Illumina, Whole Methylome, 72bp PE",,samwhite_108168,"FCD2CA8, FCC39EM",,8/26/2013,9/24/2013,,,,,,,,,,,,,,,,,,,,,
BS CgLarv T3D3,C.gigas,larvae,gDNA,,N/A,,,,,,,,,,,,,,,,"Submitted to HTGU for library prep, bisulfite conversion","Illumina, Whole Methylome, 72bp PE",,samwhite_108168,"FCD2CA8, FCC39EM",,8/26/2013,9/24/2013,,,,,,,,,,,,,,,,,,,,,
BS CgLarv T3D5,C.gigas,larvae,gDNA,,N/A,,,,,,,,,,,,,,,,"Submitted to HTGU for library prep, bisulfite conversion","Illumina, Whole Methylome, 72bp PE",,samwhite_108168,"FCD2CA8, FCC39EM",,8/26/2013,9/24/2013,,,,,,,,,,,,,,,,,,,,,
BS CgM1,C.gigas,sperm,gDNA,,N/A,,,,,,,,,,,,,,,,"Submitted to HTGU for library prep, bisulfite conversion","Illumina, Whole Methylome, 72bp PE",,samwhite_108168,"FCD2CA8, FCC39EM",,8/26/2013,9/24/2013,,,,,,,,,,,,,,,,,,,,,
BS CgM2,C.gigas,sperm,gDNA,,N/A,,,,,,,,,,,,,,,,"Submitted to HTGU for library prep, bisulfite conversion","Illumina, Whole Methylome, 72bp PE",,samwhite_108168,"FCD2CA8, FCC39EM",,8/26/2013,9/24/2013,,,,,,,,,,,,,,,,,,,,,
Y38-control,C.gigas,,gDNA,,,,,,,,,,,,,,,,,,"Submitted to HTGU for library prep, bisulfite conversion","Illumina, Whole Methylome, 36bp PE",,samwhite_108656,"FCC39KL,FCC25MD",,9/9/2013,,,,,,,,,,,,,,,,,,,,,,
Y54-mix,C.gigas,,gDNA,,,,,,,,,,,,,,,,,,"Submitted to HTGU for library prep, bisulfite conversion","Illumina, Whole Methylome, 36bp PE",,samwhite_108656,"FCC39KL,FCC25MD",,9/9/2013,,,,,,,,,,,,,,,,,,,,,,
V_CF26,Pycnopodia,coelomycetes,total RNA,sea stars injected with virus (V) or heat-killed (HK) virus,,,,,,,,,,,,,,,,,Submitted to Cornell for sequencing,"Illumina, 100bp PE",,10315714,3291_5903_10009_H94MGADXX_V_CF26_TTAGGC_R2.fastq.gz,,5/14/2014,5/28/2014,,,,,,,,,,,,,,,,,,,,,
V_CF34,Pycnopodia,coelomycetes,total RNA,sea stars injected with virus (V) or heat-killed (HK) virus,,,,,,,,,,,,,,,,,Submitted to Cornell for sequencing,"Illumina, 100bp PE",,10315714,3291_5903_10008_H94MGADXX_V_CF34_CGATGT_R1.fastq.gz,,5/14/2014,5/28/2014,,,,,,,,,,,,,,,,,,,,,
V_CF71,Pycnopodia,coelomycetes,total RNA,sea stars injected with virus (V) or heat-killed (HK) virus,,,,,,,,,,,,,,,,,Submitted to Cornell for sequencing,"Illumina, 100bp PE",,10315714,3291_5903_10007_H94MGADXX_V_CF71_ATCACG_R2.fastq.gz,,5/14/2014,5/28/2014,,,,,,,,,,,,,,,,,,,,,
HK_CF2,Pycnopodia,coelomycetes,total RNA,sea stars injected with virus (V) or heat-killed (HK) virus,,,,,,,,,,,,,,,,,Submitted to Cornell for sequencing,"Illumina, 100bp PE",,10315714,3291_5903_10010_H94MGADXX_HK_CF2_TGACCA_R2.fastq.gz,,5/14/2014,5/28/2014,,,,,,,,,,,,,,,,,,,,,
HK_CF35,Pycnopodia,coelomycetes,total RNA,sea stars injected with virus (V) or heat-killed (HK) virus,,,,,,,,,,,,,,,,,Submitted to Cornell for sequencing,"Illumina, 100bp PE",,10315714,3291_5903_10011_H94MGADXX_HK_CF35_ACAGTG_R1.fastq.gz,,5/14/2014,5/28/2014,,,,,,,,,,,,,,,,,,,,,
HK_CF70,Pycnopodia,coelomycetes,total RNA,sea stars injected with virus (V) or heat-killed (HK) virus,,,,,,,,,,,,,,,,,Submitted to Cornell for sequencing,"Illumina, 100bp PE",,10315714,3291_5903_10012_H94MGADXX_HK_CF70_GCCAAT_R1.fastq.gz,,5/14/2014,5/28/2014,,,,,,,,,,,,,,,,,,,,,
OlyRAD-01,O. lurida,larvae,gDNA (RAD),,,,,,,,,,,,,,,,,,Sumbitted to University of Oregon for sequencing,"Illumina, 100bp SE",,2035,,,11/17/2014,12/2/2014,,,,,,,,,,,,,,,,,,,,,
2M,C.gigas,,total RNA,pre and post heat shock,,,,,,,,,,,,,,,,,Submitted to Genewiz for sequencing,"Illumina, 100bp SE",,JG1411211_R1,,,11/24/2014,12/15/2014,,,,,,,,,,,,,,,,,,,,,
4M,C.gigas,,total RNA,pre and post heat shock,,,,,,,,,,,,,,,,,Submitted to Genewiz for sequencing,"Illumina, 100bp SE",,JG1411211_R1,,,11/24/2014,12/15/2014,,,,,,,,,,,,,,,,,,,,,
6M,C.gigas,,total RNA,pre and post heat shock,,,,,,,,,,,,,,,,,Submitted to Genewiz for sequencing,"Illumina, 100bp SE",,JG1411211_R1,,,11/24/2014,12/15/2014,,,,,,,,,,,,,,,,,,,,,
2M HS,C.gigas,,total RNA,pre and post heat shock,,,,,,,,,,,,,,,,,Submitted to Genewiz for sequencing,"Illumina, 100bp SE",,JG1411211_R1,,,11/24/2014,12/15/2014,,,,,,,,,,,,,,,,,,,,,
4M HS,C.gigas,,total RNA,pre and post heat shock,,,,,,,,,,,,,,,,,Submitted to Genewiz for sequencing,"Illumina, 100bp SE",,JG1411211_R1,,,11/24/2014,12/15/2014,,,,,,,,,,,,,,,,,,,,,
6M HS,C.gigas,,total RNA,pre and post heat shock,,,,,,,,,,,,,,,,,Submitted to Genewiz for sequencing,"Illumina, 100bp SE",,JG1411211_R1,,,11/24/2014,12/15/2014,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
