rack_number	column	row	label	sample_type	species_common_name	species_scientific
8	1	2	Geoduck Proteomics - Ready for MS Emma May 2015		geoduck	Panopea generosa
8	1	3	Geoduck Tissue Samples 11/7/2014	tissue	geoduck	Panopea generosa
8	1	4	Geoduck Tissue Samples 2015 Emma	tissue	geoduck	Panopea generosa
8	1	5				
8	2	1	Claire - heat shock samples 3/19/13			
8	2	2	Claire - heat shock samples 3/26/13			
8	2	3	C.gigas Larvae - NOAA O.A. September 2010 Emma	larvae	pacific oyster	Crassostrea gigas
8	2	4	C.gigas Larvae RNA Emma Started 5.24.10	RNA	pacific oyster	Crassostrea gigas
8	2	5				
8	3	1	42315 Oly ctenidia/mantle Mech Heat Control	tissue	olympia oyster	Ostrea lurida
8	3	2	42315 Oly ctenidia/mantle Mech Heat	tissue	olympia oyster	Ostrea lurida
8	3	3	Oly 42215 Heat/Mech Stress	tissue	olympia oyster	Ostrea lurida
8	3	4	Oly 42215 Heat/Mech Stress	tissue	olympia oyster	Ostrea lurida
8	3	5				
8	4	1	Shellfish RNA Box #6	RNA	olympia oyster; sea star	Ostrea lurida
8	4	2	42215 Oly ctenidia RNA Heat/Mech Stress	RNA	olympia oyster	Ostrea lurida
8	4	3	42315 Oly RNAzol Heat/Mech Stress ctendia	tissue	olympia oyster	Ostrea lurida
8	4	4	FISH441 RNA 11/25/14	RNA		
8	4	5				
9	1	1	Geoduck OA Putnam Geoduck RNA Samples, 8/23/16 HP	RNA	geoduck	Panopea generosa
9	1	2	Putnam Geoduck Tissue Homogenates 8-24-16 HP	tissue	geoduck	Panopea generosa
9	1	3	RNA Geoduck Homogenate in RNAzol 25 Aug 16, HP	RNA	geoduck	Panopea generosa
9	1	4	8 March 16, HP, Geoduck OA Epigenetics Project, EtOH rinsed samples snap frozen for transcriptomics and epigenetics	tissue ?	geoduck	Panopea generosa
9	1	5				
9	2	1	Geoduck OA Putnam Poly A Purified mRNA, 30 Aug 16, HP	RNA	geoduck	Panopea generosa
9	2	2	UW - Steven Roberts 360-362-3626 geoduck larvae 2-18-2016	larvae	geoduck	Panopea generosa
9	2	3	Cutthroat Spring 2016, aspanjer@uw.edu, Evan Seamans DNAsed samples capstone seamea@uw.edu			
9	2	4	12/7/26 YRV DNR/DNA oyster gill tissue	tissue		
9	2	5				
9	3	1	Anthroplenra elegantissima, Heat Shock Expt., - 2 anemones - "#1" and "#2" (#1 larger); - animals held at 5˚C for 2 weeks; Heat shocked at 37˚C for one hour; Tentacles sampled before and after	tissue	anemone	
9	3	2	FISH 441 Tissue - Fall 2013; Top: Mussel Group; Bottom: Matt G's Mussel Samples			
9	3	3	DNR oysters, Box 1; Round 1, bare			
9	3	4	DNR oysters, Box 2; Round 1, eelgrass			
9	3	5				
9	4	1	Bradley -80˚C			
9	4	2	Bioanalyzer RNA pico ladder aliquots 12/18/15 SJW			
9	4	3	DNR oysters, Box 3; Round 2, bare			
9	4	4	DNR oysters, Box 4; Round 2, eelgrass			
9	4	5				
10	1	1	C. gigas gill + RNA field Samples 04/09	tissue and RNA	pacific oyster	Crassostrea gigas
10	1	2	C. gigas field samples Aug 2009, WB + NB		pacific oyster	Crassostrea gigas
10	1	3	C. gigas field Oct 09, WB, BB, DH, MG		pacific oyster	Crassostrea gigas
10	1	4	SB, NB, WB Adult C. gigas bioindicator, Dec 09		pacific oyster	Crassostrea gigas
10	1	5	Juvoyster gill Oct 09 sampling for RNA + gDNA isolations, 11-23-09, MG	RNA and gDNA	pacific oyster	Crassostrea gigas
10	2	1	C. gigas field samples, Aug 2009, SB		pacific oyster	Crassostrea gigas
10	2	2	C. gigas field Oct 09, LC, NB		pacific oyster	Crassostrea gigas
10	2	3	BB, LC, DH C. gigas bioindicator Dec 09 / + WB April 2010		pacific oyster	Crassostrea gigas
10	2	4	NB, DH, LC, BB, Oyster adults, April 2010		pacific oyster	Crassostrea gigas
10	2	5	NOAA Oly Box "D"		olympia oyster	ostrea lurida
10	3	1	5-20-2010 5-azacytidine pilot study (gill and gDNA) MG	tissue and gDNA		
10	3	2	C. gigas samples from hatchery spawn 7-01-2010		pacific oyster	Crassostrea gigas
10	3	3	May Sampling C.g gill in RNAlater Box 1, Emma	tissue	pacific oyster	Crassostrea gigas
10	3	4	May Sampling + July 2010 Cg Gill in RNAlater, BIoindicator, Box 2, Emma	tissue	pacific oyster	Crassostrea gigas
10	3	5	July 2010, Adult C.gigas gill in RNAlater, Bioindicator, Box 3, Emma	tissue	pacific oyster	Crassostrea gigas
10	4	1	C. gigas vinclozolin F1 gonad, sampled 12-19-12	tissue	pacific oyster	Crassostrea gigas
10	4	2	C. gigas vinclozolin F1 gill, sampled 12-19-12	tissue	pacific oyster	Crassostrea gigas
10	4	3	April 2009, SB,LG,NB			
11	1	1	EE2, Trial  2 week timepoint, 5-30-2012, tissue: gill, MG	tissue	pacific oyster	Crassostrea gigas
11	1	2	EE2, C. gigas Oct 2011; methionine C. gigas Dec 2011	tissue	pacific oyster	Crassostrea gigas
11	1	3	EE2 V2, Day 60, #142 gonad, #161 gill - 190 	tissue	pacific oyster	Crassostrea gigas
11	1	4	EE2 V2, Day 61, #191 - 230, 71- 	tissue	pacific oyster	Crassostrea gigas
11	1	5				
11	2	1	EE2, Day 61, #231 - 	tissue	pacific oyster	Crassostrea gigas
11	2	2	EE2, Day 61, #267-300	tissue	pacific oyster	Crassostrea gigas
11	2	3	EE2 V2, C. gigas, M Gavery, 2-28-2013	tissue	pacific oyster	Crassostrea gigas
11	2	4	Emma - Proteomics, August 2012			
11	2	5				
11	3	1	Sockeye Salmon DNA low yield samples, C. Stover, 08.28.09	DNA	sockeye salmon	Oncorhynchus nerka
11	3	2	Sockeye pop.s, HRM, U. Washington		sockeye salmon	Oncorhynchus nerka
11	3	3	Herring - Seeb Lab, Box 1 of 2		pacific herring	Clupea pallasii
11	3	4	Herring - Seeb Lab, Box 2 of 2		pacific herring	Clupea pallasii
11	3	5				
11	4	1	NF Olys		olympia oyster	Ostrea lurida
11	4	2	NF Olys		olympia oyster	Ostrea lurida
11	4	3	2HL Olys		olympia oyster	Ostrea lurida
11	4	4	Shellfish RNA Box #5	RNA		
11	4	5				
12	1	1	Olympia oyster tissue, Box 1, August 12, 2015	tissue	olympia oyster	Ostrea lurida
12	1	2	Olympia oyster tissue, Box 2, August 12, 2015	tissue	olympia oyster	Ostrea lurida
12	1	3	Geoduck tissue, Box 1, Genome Seq., Aug 11, 2015	tissue	geoduck	Panopea generosa
12	1	4	Geoduck tissue, Box 2, Genome Seq., Aug 11, 2015	tissue	geoduck	Panopea generosa
12	1	5				
12	2	1	DNR Geoduck, Samples #1-81		geoduck	Panopea generosa
12	2	2	DNR Geoduck, Samples #82-162	tissue	geoduck	Panopea generosa
12	2	3	DNA Geoduck, Samples #163-209	tissue	geoduck	Panopea generosa
12	2	4	C. gigas gill - MAC's DNAsed RNA, Box #1	RNA	pacific oyster	Crassostrea gigas
12	2	5				
12	3	1	DNAsed RNA, 7-5-2011	RNA		
12	3	2	Invitrogen MethylMiner			
12	3	3	Rhonda's 2016 Oyster Samples		pacific oyster	Crassostrea gigas
12	3	4	Rhonda Geoduck 2016		geoduck	Panopea generosa
12	3	5				
12	4	1	Rhonda Elliot, Dr. Roberts, Oyster Samples 2016, 12/5/16		pacific oyster	Crassostrea gigas
12	4	2	2016 Oyster Samples, back-up desalting 		pacific oyster	Crassostrea gigas
12	4	3	Rhonda Oyster 2016		pacific oyster	Crassostrea gigas
12	4	4	Rhonda's Oyster samples 2016		pacific oyster	Crassostrea gigas
12	4	5				
13	1	1	Microbial Samples, Silos # 2, 3, 9 Rhonda 2016	filter paper	pacific oyster	Crassostrea gigas
13	1	2	Microbial Samples, Silos # 1, 4, 5, 7, 8, 10	filter paper	pacific oyster	Crassostrea gigas
13	1	3	Laura + Yaamini samples for MS 1/13/17			
13	1	4	12/7/16. Yaamini DNR Oyster Protein Extractions			
13	1	5				
13	2	1	Laura H. Spencer, DNR Geoduck OA: Protein Extractions; 12/2016		geoduck	Panopea generosa
13	2	2	Vancouver Transgenic Coho Tissue Samples, 12/2000, SR	tissue	coho salmon	Oncorhynchus kisutch
13	2	3	Unknown. Tubes labeled --> FID ### M *or* FID ### g			
13	2	4	NOAA Oly's Box E			
13	2	5				
13	3	1	Oly (Whole) RNA, 0.1% DEPC H20, 11/11/13, Jake Heare	RNA	olympia oyster	Ostrea lurida
13	3	2	Rhonda Elliot, Roberts Lab, Oyster Seed experiment, 10/14/15		pacific oyster	Crassostrea gigas
13	3	3	RNA 6000 picoladder, R'cvd Feb 5, 2016			
13	3	4	09 Sept 16, HP, Putnam Geoduck x OA juvenile homogenated tissue for RNA/DNA	tissue	geoduck	Panopea generosa
13	3	5				
13	4	1	R. Elliot; 200 mM DTT (200µl - aliquots); 200 mM TCEP (200µl - aliquots) made 11/16/16; 200 mM IAA (200µl - aliquots) made 11/23/16			
13	4	2	Bioanalyzer RNA 6000 picoladder 8-26-16 HP			
13	4	3	Lys-C (20µl aliquots @ 2µg/ml) R. Elliot 11/28/16			
13	4	4				
13	4	5				
