Contig	Ten_total	Twenty_total
QPX_transcriptome_v1_Contig_10431	141	89
QPX_transcriptome_v1_Contig_10432	104	141
QPX_transcriptome_v1_Contig_10433	511	361
QPX_transcriptome_v1_Contig_10434	333	352
QPX_transcriptome_v1_Contig_10435	121	99
QPX_transcriptome_v1_Contig_10436	199	116
QPX_transcriptome_v1_Contig_10437	251	73
QPX_transcriptome_v1_Contig_10438	90	169
QPX_transcriptome_v1_Contig_10439	311	78
QPX_transcriptome_v1_Contig_1044	16824	5466
QPX_transcriptome_v1_Contig_10440	189	67
QPX_transcriptome_v1_Contig_10441	111	112
QPX_transcriptome_v1_Contig_10442	96	63
QPX_transcriptome_v1_Contig_10443	307	78
QPX_transcriptome_v1_Contig_10444	111	67
QPX_transcriptome_v1_Contig_10445	112	73
QPX_transcriptome_v1_Contig_10446	246	147
QPX_transcriptome_v1_Contig_10447	259	190
QPX_transcriptome_v1_Contig_10448	115	174
QPX_transcriptome_v1_Contig_10449	50	173
QPX_transcriptome_v1_Contig_1045	5534	3632
QPX_transcriptome_v1_Contig_10450	425	70
QPX_transcriptome_v1_Contig_10451	295	208
QPX_transcriptome_v1_Contig_10452	186	134
QPX_transcriptome_v1_Contig_10453	173	116
QPX_transcriptome_v1_Contig_10454	114	58
QPX_transcriptome_v1_Contig_10455	204	159
QPX_transcriptome_v1_Contig_10456	278	262
QPX_transcriptome_v1_Contig_10457	280	416
QPX_transcriptome_v1_Contig_10458	136	82
QPX_transcriptome_v1_Contig_10459	741	200
QPX_transcriptome_v1_Contig_1046	3213	814
QPX_transcriptome_v1_Contig_10460	128	125
QPX_transcriptome_v1_Contig_10461	107	163
QPX_transcriptome_v1_Contig_10462	302	286
QPX_transcriptome_v1_Contig_10463	111	106
QPX_transcriptome_v1_Contig_10464	173	30
QPX_transcriptome_v1_Contig_10465	101	136
QPX_transcriptome_v1_Contig_10466	189	207
QPX_transcriptome_v1_Contig_10467	162	92
QPX_transcriptome_v1_Contig_10468	68	93
QPX_transcriptome_v1_Contig_10469	262	509
QPX_transcriptome_v1_Contig_1047	1456	1016
QPX_transcriptome_v1_Contig_10470	248	111
QPX_transcriptome_v1_Contig_10471	104	92
QPX_transcriptome_v1_Contig_10472	429	254
QPX_transcriptome_v1_Contig_10473	128	66
QPX_transcriptome_v1_Contig_10474	215	94
QPX_transcriptome_v1_Contig_10475	146	168
QPX_transcriptome_v1_Contig_10476	178	199
QPX_transcriptome_v1_Contig_10477	169	84
QPX_transcriptome_v1_Contig_10478	250	380
QPX_transcriptome_v1_Contig_10479	162	164
QPX_transcriptome_v1_Contig_1048	12641	4704
QPX_transcriptome_v1_Contig_10480	179	71
QPX_transcriptome_v1_Contig_10481	101	96
QPX_transcriptome_v1_Contig_10482	124	104
QPX_transcriptome_v1_Contig_10483	109	108
QPX_transcriptome_v1_Contig_10484	110	75
QPX_transcriptome_v1_Contig_10485	105	159
QPX_transcriptome_v1_Contig_10486	342	60
QPX_transcriptome_v1_Contig_10487	114	188
QPX_transcriptome_v1_Contig_10488	132	119
QPX_transcriptome_v1_Contig_10489	192	226
QPX_transcriptome_v1_Contig_1049	4395	1406
QPX_transcriptome_v1_Contig_10490	236	413
QPX_transcriptome_v1_Contig_10491	128	238
QPX_transcriptome_v1_Contig_10492	201	193
QPX_transcriptome_v1_Contig_10493	285	174
QPX_transcriptome_v1_Contig_10494	130	239
QPX_transcriptome_v1_Contig_10495	371	103
QPX_transcriptome_v1_Contig_10496	75	128
QPX_transcriptome_v1_Contig_10497	132	93
QPX_transcriptome_v1_Contig_10498	331	246
QPX_transcriptome_v1_Contig_10499	280	151
QPX_transcriptome_v1_Contig_105	987	364
QPX_transcriptome_v1_Contig_1050	1944	891
QPX_transcriptome_v1_Contig_10500	165	65
QPX_transcriptome_v1_Contig_10501	145	129
QPX_transcriptome_v1_Contig_10502	145	113
QPX_transcriptome_v1_Contig_10503	213	274
QPX_transcriptome_v1_Contig_10504	102	79
QPX_transcriptome_v1_Contig_10505	246	389
QPX_transcriptome_v1_Contig_10506	293	117
QPX_transcriptome_v1_Contig_10507	134	113
QPX_transcriptome_v1_Contig_10508	188	164
QPX_transcriptome_v1_Contig_10509	134	82
QPX_transcriptome_v1_Contig_1051	3435	1447
QPX_transcriptome_v1_Contig_10510	258	220
QPX_transcriptome_v1_Contig_10511	176	100
QPX_transcriptome_v1_Contig_10512	310	245
QPX_transcriptome_v1_Contig_10513	251	142
QPX_transcriptome_v1_Contig_10514	297	106
QPX_transcriptome_v1_Contig_10515	197	112
QPX_transcriptome_v1_Contig_10516	167	55
QPX_transcriptome_v1_Contig_10517	171	95
QPX_transcriptome_v1_Contig_10518	153	95
QPX_transcriptome_v1_Contig_10519	98	203
QPX_transcriptome_v1_Contig_1052	2917	1240
QPX_transcriptome_v1_Contig_10520	155	171
QPX_transcriptome_v1_Contig_10521	206	311
QPX_transcriptome_v1_Contig_10522	388	215
QPX_transcriptome_v1_Contig_10523	74	121
QPX_transcriptome_v1_Contig_10524	80	139
QPX_transcriptome_v1_Contig_10525	148	255
QPX_transcriptome_v1_Contig_10526	212	79
QPX_transcriptome_v1_Contig_10527	223	285
QPX_transcriptome_v1_Contig_10528	191	181
QPX_transcriptome_v1_Contig_10529	159	152
QPX_transcriptome_v1_Contig_1053	852	560
QPX_transcriptome_v1_Contig_10530	125	72
QPX_transcriptome_v1_Contig_10531	189	108
QPX_transcriptome_v1_Contig_10532	152	137
QPX_transcriptome_v1_Contig_10533	175	134
QPX_transcriptome_v1_Contig_10534	234	99
QPX_transcriptome_v1_Contig_10535	197	124
QPX_transcriptome_v1_Contig_10536	226	71
